id,lat,lon
1015,32.0,35.0
1016,31.0,35.0
1017,31.0,35.0
1018,31.0,35.0
1019,31.0,35.0
1020,32.0,35.0
1021,32.0,35.0
1022,40.0,9.0
1023,40.0,9.0
1024,32.0,35.0
1025,32.0,35.0
1026,32.0,35.0
1027,32.0,35.0
1028,40.0,9.0
1029,40.0,9.0
1030,31.0,35.0
1031,31.0,35.0
1032,32.0,35.0
1033,32.0,35.0
1034,59.0,-3.0
1035,59.0,-3.0
1036,32.0,35.0
1037,32.0,35.0
1038,59.0,-3.0
1039,59.0,-3.0
1040,46.0,10.0
1041,46.0,10.0
1042,32.0,35.0
1043,32.0,35.0
1044,32.0,35.0
1045,32.0,35.0
1046,40.0,9.0
1047,40.0,9.0
1048,40.0,9.0
1049,40.0,9.0
1050,31.0,35.0
1051,31.0,35.0
1052,33.5,70.0
1053,33.5,70.0
1054,33.5,70.5
1055,33.5,70.5
1056,33.5,70.5
1057,33.5,70.5
1058,25.5,69.0
1059,25.5,69.0
1060,33.5,70.5
1061,33.5,70.5
1062,40.0,9.0
1063,40.0,9.0
1064,32.0,35.0
1065,32.0,35.0
1066,30.5,66.5
1067,30.5,66.5
1068,32.0,35.0
1069,32.0,35.0
1070,43.0,0.0
1071,43.0,0.0
1072,40.0,9.0
1073,40.0,9.0
1074,19.0,-91.0
1075,19.0,-91.0
1076,3.0,-68.0
1077,3.0,-68.0
1078,31.0,35.0
1079,31.0,35.0
1080,19.0,-91.0
1081,19.0,-91.0
1082,-4.0,143.0
1083,-4.0,143.0
1084,-6.0,155.0
1085,-6.0,155.0
1086,32.0,35.0
1087,32.0,35.0
1088,31.0,35.0
1089,31.0,35.0
1090,33.5,70.0
1091,33.5,70.0
1092,32.0,35.0
1093,32.0,35.0
1094,32.0,35.0
1095,32.0,35.0
1096,31.0,35.0
1097,31.0,35.0
1098,31.0,35.0
1099,31.0,35.0
1100,59.0,-3.0
1101,59.0,-3.0
1102,46.0,10.0
1103,46.0,10.0
1104,43.0,11.0
1105,43.0,11.0
1106,59.0,-3.0
1107,59.0,-3.0
1108,32.0,35.0
1109,32.0,35.0
1110,46.0,10.0
1111,46.0,10.0
1112,31.0,35.0
1113,31.0,35.0
1114,33.5,70.0
1115,33.5,70.0
1116,37.5,139.0
1117,37.5,139.0
1118,36.0,71.5
1119,36.0,71.5
1120,33.5,70.0
1121,33.5,70.0
1122,25.5,69.0
1123,25.5,69.0
1124,36.0,71.5
1125,36.0,71.5
1126,46.0,10.0
1127,46.0,10.0
1128,40.0,9.0
1129,40.0,9.0
1130,19.0,-91.0
1131,19.0,-91.0
1132,32.0,35.0
1133,32.0,35.0
1134,-6.1,145.4
1135,-6.1,145.4
1136,-6.0,155.0
1137,-6.0,155.0
1138,19.0,-91.0
1139,19.0,-91.0
1140,-10.0,-63.0
1141,-10.0,-63.0
1142,43.0,11.0
1143,43.0,11.0
1144,40.0,9.0
1145,40.0,9.0
1146,12.0,-12.0
1147,12.0,-12.0
1148,32.0,35.0
1149,32.0,35.0
1150,31.0,35.0
1151,31.0,35.0
1152,31.0,35.0
1153,31.0,35.0
1154,32.0,3.0
1155,32.0,3.0
1156,32.0,35.0
1157,32.0,35.0
1158,40.0,9.0
1159,40.0,9.0
1160,43.0,11.0
1161,43.0,11.0
1162,40.0,9.0
1163,40.0,9.0
1164,32.0,35.0
1165,32.0,35.0
1166,32.0,35.0
1167,32.0,35.0
1168,33.5,70.0
1169,33.5,70.0
1170,36.5,74.0
1171,36.5,74.0
1172,43.5,81.5
1173,43.5,81.5
1174,32.0,35.0
1175,32.0,35.0
1176,30.5,66.5
1177,30.5,66.5
1178,36.0,71.5
1179,36.0,71.5
1180,36.5,74.0
1181,36.5,74.0
1182,33.5,70.5
1183,33.5,70.5
1184,32.0,35.0
1185,32.0,35.0
1186,19.0,-91.0
1187,19.0,-91.0
1188,-6.0,155.0
1189,-6.0,155.0
1190,29.0,-108.0
1191,29.0,-108.0
1192,-10.0,-63.0
1193,-10.0,-63.0
1194,3.0,-68.0
1195,3.0,-68.0
1196,32.0,3.0
1197,32.0,3.0
1198,46.0,10.0
1199,46.0,10.0
1200,3.0,-68.0
1201,3.0,-68.0
1202,19.0,-91.0
1203,19.0,-91.0
1204,12.0,-12.0
1205,12.0,-12.0
1206,31.0,35.0
1207,31.0,35.0
1208,32.0,35.0
1209,32.0,35.0
1210,31.0,35.0
1211,31.0,35.0
1212,32.0,35.0
1213,32.0,35.0
1214,43.0,0.0
1215,43.0,0.0
1216,31.0,35.0
1217,31.0,35.0
1218,59.0,-3.0
1219,59.0,-3.0
1220,40.0,9.0
1221,40.0,9.0
1222,43.0,0.0
1223,43.0,0.0
1224,32.0,35.0
1225,32.0,35.0
1226,32.0,35.0
1227,32.0,35.0
1228,31.0,35.0
1229,31.0,35.0
1230,32.0,35.0
1231,32.0,35.0
1232,32.0,3.0
1233,32.0,3.0
1234,30.5,66.5
1235,30.5,66.5
1236,25.5,69.0
1237,25.5,69.0
1238,36.0,71.5
1239,36.0,71.5
1240,40.0,9.0
1241,40.0,9.0
1242,40.0,9.0
1243,40.0,9.0
1244,43.0,11.0
1245,43.0,11.0
1246,-10.0,-63.0
1247,-10.0,-63.0
1248,19.0,-91.0
1249,19.0,-91.0
1250,19.0,-91.0
1251,19.0,-91.0
1252,19.0,-91.0
1253,19.0,-91.0
1254,29.0,-108.0
1255,29.0,-108.0
1256,37.5,139.0
1257,37.5,139.0
1258,29.0,-108.0
1259,29.0,-108.0
1260,37.5,139.0
1261,37.5,139.0
1262,-11.0,-62.0
1263,-11.0,-62.0
1264,32.0,35.0
1265,32.0,35.0
1266,32.0,35.0
1267,32.0,35.0
1268,32.0,35.0
1269,32.0,35.0
1270,32.0,3.0
1271,32.0,3.0
1272,31.0,35.0
1273,31.0,35.0
1274,40.0,9.0
1275,40.0,9.0
1276,43.0,0.0
1277,43.0,0.0
1278,32.0,35.0
1279,32.0,35.0
1280,32.0,35.0
1281,32.0,35.0
1282,32.0,3.0
1283,32.0,3.0
1284,48.5,124.0
1285,48.5,124.0
1286,31.0,35.0
1287,31.0,35.0
1288,31.0,35.0
1289,31.0,35.0
1290,63.0,129.5
1291,63.0,129.5
1292,37.5,139.0
1293,37.5,139.0
1294,33.5,70.5
1295,33.5,70.5
1296,30.5,66.5
1297,30.5,66.5
1298,30.5,66.5
1299,30.5,66.5
1300,-6.1,145.4
1301,-6.1,145.4
1302,31.0,35.0
1303,31.0,35.0
1304,21.0,100.0
1305,21.0,100.0
1306,29.0,-108.0
1307,29.0,-108.0
1308,31.0,35.0
1309,31.0,35.0
1310,19.0,-91.0
1311,19.0,-91.0
1312,29.0,-108.0
1313,29.0,-108.0
1314,-6.0,155.0
1315,-6.0,155.0
1316,59.0,-3.0
1317,59.0,-3.0
1318,19.0,-91.0
1319,19.0,-91.0
1320,32.0,35.0
1321,32.0,35.0
1322,31.0,35.0
1323,31.0,35.0
1324,32.0,35.0
1325,32.0,35.0
1326,31.0,35.0
1327,31.0,35.0
1328,32.0,35.0
1329,32.0,35.0
1330,32.0,35.0
1331,32.0,35.0
1332,32.0,35.0
1333,32.0,35.0
1334,32.0,35.0
1335,32.0,35.0
1336,31.0,35.0
1337,31.0,35.0
1338,47.5,133.5
1339,47.5,133.5
